id		Majority protein IDs
208		Q8H152;Q56XB4;F4JY76
230		F4KDU5;Q8GYH3;P49691;Q9ASS3
226		Q5RJC5;F4K9A6
736		Q9SF53
556		Q94EH8
576		Q9M2L8;Q9M4T7;Q9C5Z3
698		Q9LXJ8
582		Q9C909
559		Q94K80
695		Q9LW52
524		Q93VI4;F4KBV3
291		O81126
634		Q9FQ04
778		Q9SZD6;F4JMU5;Q5QEA9;Q0WVD2;Q0WWF9
674		Q9LPI3
653		Q9LHL2;Q0WNB9;Q8W4A6
713		Q9M1Q0
621		Q9FMM3
27		A8MSG1;Q9CAX7;O82221
682		Q9LSA3;Q9C8F7;Q8VZ19;Q0WSA0
345		P51418
515		Q8W4I9
279		O64843
539		Q93ZJ9;Q9S770
54		Q0WV25;B9DGT7;P29511;B9DFF8;Q944I2;Q56WH1;B9DHQ0
788		Q9ZUU3
13		A8MPR6;B9DGE5;Q1JPL5;Q0WPP4;Q9LUT8
435		Q9ASR0;Q56YW9;P29517;P24636;P29515;B9DI08
541		Q93ZT6;Q93ZT6-2
701		Q9LYN7
380		Q0WNX3;Q9LXF5
263		Q8VYF1;Q0WWU9;O23515
569		Q9ASW4;Q9LU37
542		Q940B0;P42791
137		F4I2E4;Q9S7D7
715		Q9M2E0
67		B9DI42;Q94AJ9;Q9LPW9
57		Q9LTF2;B9DH50;Q0WWM0
655		Q9LHP2
776		Q9SY59
689		Q9LUT2
545		Q949Z3;Q8L779;F4K4W6;Q9FJ56
333		P43286;Q42277
688		Q9LUQ6
164		F4IUX6
493		Q8LPS6
618		Q9FME4
683		Q9LTT8-2;Q9LTT8
325		P41377;F4HV96;B9DHY5
786		Q9ZUM0
50		Q9SJ36;Q9LZ17;P49205;B9DGM0;Q9SQZ1
76		C0Z2L2;P43292;Q9FFP9;Q9C958;P43291;F4I7B6
160		F4ISQ7-2;F4ISQ7
500		Q8VWF5
187		F4JFF2;Q9M369
443		Q76E23
72		P93004;C0SVL5;O23830
487		Q9SIZ2;Q8LEV8;A2RVK1;Q9XEF6
246		O22243
662		Q9LK47
565		Q96511;Q84M88
612		Q9FKZ4
741		Q9SHF3
162		Q8GW56;F4IT98;Q9ZPR2;F4ITA0
227		Q8VYH3;Q0WTC7;F4KDJ9;Q9LVM8
496		Q8RWR2
523		Q93VG5
152		Q9SHZ6;F4IIL5
349		P56791
779		Q9SZP8;F4JUG0
568		Q9ASS2;Q940J6
374		Q96293;Q96292;Q0WL95;F4J8V9;Q8LB94;B9DHA3;Q93ZL9
624		Q9FNQ1;F4K203
