id		Majority protein IDs
285		O80496;Q9XFR5-2;Q9XFR5
287		O80653-2;O80653
288		O80678
289		Q8RXN6;O80740
290		O80839-2;Q1ECF5;Q500W4;O80839
292		O81127-3;O81127-2;O81127
293		O81644
294		O82233
296		O82380
299		Q67Z07;P0DI10
300		P0DI75;P0DI74
303		P15456
304		P15458;C0Z2C8
305		P15459
308		P17562;B9DHQ7;P23686
309		P19366
310		P21218
312		Q0WLB0;P24806
313		Q56WK5;P25696
315		P26568;Q42247
317		P29513
318		Q8GY15;P29514
322		P38420
324		P41376;C0Z2Q9;A8MRZ7;F4JEL5;F4JEL4;Q9CAI7
326		Q8H156;P41917;P41916
327		P42036
329		P42733
330		P42734-2;P42734
331		P42763
336		P48491
339		P49211
340		P49227
341		Q9LR33;Q7G923;P49637
343		P51412
348		P56785
350		P56792
351		P56795
352		P56802
354		P59223
355		P59224
358		P61837
359		Q6KGZ1;P61841
360		Q8H135;P83484;P83483;Q9C5A9;Q0WM57
361		P92948
362		P92964;Q9ZPX8-2;Q9ZPX8
363		Q9M0K9;P92965;P92965-3;P92965-2
365		Q56ZQ4;P93014
366		Q8RYC4;P93017
367		P93755
368		Q39052;P93816;Q84WN7;Q5XF24;Q9LSX4
371		Q08733;A8MSF6;Q39196
373		Q0WL81;Q9LN14;Q96312
376		Q0WLR1
377		Q9LQ22;Q0WLY0
378		Q0WMY5
382		Q9FLE6;Q0WQW8
385		Q0WRA3;Q96315
387		Q9FJZ9;Q0WT45
390		Q84WM2;Q38882;Q0WV84
393		Q39101;Q0WWC2;Q56ZR9
395		Q1H595
396		Q1PES4
399		Q9LF99;Q8L9S7;Q3EBM1;Q2V422;Q9SJR4
400		Q9FUG4;Q38861
404		Q38966;Q9LSE3
405		Q38970
406		Q39048
408		Q39096-2;Q39096
411		Q39168
412		Q3E8H9;Q9FKV7;Q6NMC2
413		Q3E902
416		Q42021;Q93VP3-2;Q93VP3;Q42002
417		Q42027;Q9ZSI6
418		Q42064
421		Q42403;Q42015
422		Q42404
423		Q42406
424		Q42431
425		Q42536
426		Q53YQ5;Q43729
427		Q43735
429		Q9FLS4;Q501B3
430		Q56W68
432		Q56WH4-2;Q56WH4
433		Q56WK6;C0Z3B2;Q56ZI2
436		Q570B4
439		Q67ZB3
440		Q681H8;Q9SRL5
442		Q6Q151-2;Q6Q151
444		Q84JH2;Q9FJK5
446		Q84U77;Q8VZS6;Q9LK49
448		Q84W89
450		Q84WT8
451		Q8GUG7
452		Q8GW31;Q8GW31-2
453		Q9SRT8;Q8GW67
456		Q9SHR1;Q9LP33;Q8GXH2
457		Q8GXS3-2;Q8GXS3
